Date,City,Year,Quarter,Month,Day,DayOfWeek,Season,Max Temp (°C),Min Temp (°C),Avg Temp (°C),Temp Range (°C),Rainfall (mm),Rainy Day,Rainfall Category,Max Wind (km/h),Rolling Avg 7,Rolling Avg 30,Lag1,Lag7,Monthly Avg Temp,Temp Anomaly,Temperature Category,Is Weekend,Cumulative Rainfall,Outlier
2021-01-01,Chennai,2021,1,1,1,Friday,Winter,27.0,24.1,25.55,2.8999999999999986,0.1,1,Light,22.0,25.55,25.55,25.55,25.55,25.33709677419355,0.21290322580644983,Warm,False,0.1,False
2021-01-02,Chennai,2021,1,1,2,Saturday,Winter,25.5,23.9,24.7,1.6000000000000014,15.7,1,Moderate,21.1,25.125,25.125,25.55,24.7,25.33709677419355,-0.6370967741935516,Warm,True,15.799999999999999,False
2021-01-03,Chennai,2021,1,1,3,Sunday,Winter,27.0,23.6,25.3,3.3999999999999986,3.5,1,Light,19.5,25.183333333333334,25.183333333333334,24.7,25.3,25.33709677419355,-0.037096774193550175,Warm,True,19.299999999999997,False
2021-01-04,Chennai,2021,1,1,4,Monday,Winter,26.7,23.6,25.15,3.099999999999998,4.5,1,Light,19.5,25.175,25.175,25.3,25.15,25.33709677419355,-0.1870967741935523,Warm,False,23.799999999999997,False
2021-01-05,Chennai,2021,1,1,5,Tuesday,Winter,26.0,23.8,24.9,2.1999999999999993,17.6,1,Moderate,16.6,25.119999999999997,25.119999999999997,25.15,24.9,25.33709677419355,-0.4370967741935523,Warm,False,41.4,False
2021-01-06,Chennai,2021,1,1,6,Wednesday,Winter,26.9,23.4,25.15,3.5,16.1,1,Moderate,15.5,25.125,25.125,24.9,25.15,25.33709677419355,-0.1870967741935523,Warm,False,57.5,False
2021-01-07,Chennai,2021,1,1,7,Thursday,Winter,27.2,23.5,25.35,3.6999999999999993,3.4,1,Light,17.2,25.157142857142855,25.157142857142855,25.15,25.35,25.33709677419355,0.012903225806450536,Warm,False,60.9,False
2021-01-08,Chennai,2021,1,1,8,Friday,Winter,27.9,23.8,25.85,4.099999999999998,4.2,1,Light,13.5,25.199999999999996,25.24375,25.35,25.55,25.33709677419355,0.5129032258064505,Warm,False,65.1,False
2021-01-09,Chennai,2021,1,1,9,Saturday,Winter,28.0,23.6,25.8,4.399999999999999,2.0,1,Light,18.2,25.357142857142858,25.305555555555557,25.85,24.7,25.33709677419355,0.4629032258064498,Warm,True,67.1,False
2021-01-10,Chennai,2021,1,1,10,Sunday,Winter,28.0,24.0,26.0,4.0,0.9,1,Light,19.1,25.457142857142856,25.375,25.8,25.3,25.33709677419355,0.6629032258064491,Warm,True,68.0,False
2021-01-11,Chennai,2021,1,1,11,Monday,Winter,28.0,24.0,26.0,4.0,3.0,1,Light,22.1,25.57857142857143,25.431818181818183,26.0,25.15,25.33709677419355,0.6629032258064491,Warm,False,71.0,False
2021-01-12,Chennai,2021,1,1,12,Tuesday,Winter,28.1,24.4,26.25,3.700000000000003,0.9,1,Light,22.7,25.771428571428572,25.5,26.0,24.9,25.33709677419355,0.9129032258064491,Warm,False,71.9,False
2021-01-13,Chennai,2021,1,1,13,Wednesday,Winter,27.9,23.9,25.9,4.0,0.7,1,Light,21.7,25.87857142857143,25.53076923076923,26.25,25.15,25.33709677419355,0.5629032258064477,Warm,False,72.6,False
2021-01-14,Chennai,2021,1,1,14,Thursday,Winter,27.2,23.8,25.5,3.3999999999999986,1.6,1,Light,21.9,25.900000000000002,25.52857142857143,25.9,25.35,25.33709677419355,0.16290322580644911,Warm,False,74.2,False
2021-01-15,Chennai,2021,1,1,15,Friday,Winter,28.1,23.0,25.55,5.100000000000001,0.0,0,No Rain,14.3,25.857142857142858,25.529999999999998,25.5,25.85,25.33709677419355,0.21290322580644983,Warm,False,74.2,False
2021-01-16,Chennai,2021,1,1,16,Saturday,Winter,27.6,21.8,24.700000000000003,5.800000000000001,0.0,0,No Rain,12.7,25.7,25.478125,25.55,25.8,25.33709677419355,-0.637096774193548,Warm,True,74.2,False
2021-01-17,Chennai,2021,1,1,17,Sunday,Winter,27.2,20.5,23.85,6.699999999999999,0.0,0,No Rain,14.0,25.392857142857142,25.38235294117647,24.700000000000003,26.0,25.33709677419355,-1.4870967741935495,Warm,True,74.2,False
2021-01-18,Chennai,2021,1,1,18,Monday,Winter,27.8,23.0,25.4,4.800000000000001,0.0,0,No Rain,18.9,25.307142857142857,25.383333333333333,23.85,26.0,25.33709677419355,0.0629032258064477,Warm,False,74.2,False
2021-01-19,Chennai,2021,1,1,19,Tuesday,Winter,28.0,22.5,25.25,5.5,0.0,0,No Rain,17.6,25.164285714285715,25.376315789473683,25.4,26.25,25.33709677419355,-0.08709677419355089,Warm,False,74.2,False
2021-01-20,Chennai,2021,1,1,20,Wednesday,Winter,27.9,22.5,25.2,5.399999999999999,0.0,0,No Rain,14.6,25.064285714285713,25.3675,25.25,25.9,25.33709677419355,-0.1370967741935516,Warm,False,74.2,False
2021-01-21,Chennai,2021,1,1,21,Thursday,Winter,28.2,23.1,25.65,5.099999999999998,0.2,1,Light,9.7,25.085714285714285,25.38095238095238,25.2,25.5,25.33709677419355,0.3129032258064477,Warm,False,74.4,False
2021-01-22,Chennai,2021,1,1,22,Friday,Winter,28.5,22.9,25.7,5.600000000000001,1.1,1,Light,11.6,25.107142857142858,25.395454545454548,25.65,25.55,25.33709677419355,0.3629032258064484,Warm,False,75.5,False
2021-01-23,Chennai,2021,1,1,23,Saturday,Winter,28.2,22.4,25.299999999999997,5.800000000000001,0.4,1,Light,10.8,25.192857142857143,25.391304347826086,25.7,24.700000000000003,25.33709677419355,-0.03709677419355373,Warm,True,75.9,False
2021-01-24,Chennai,2021,1,1,24,Sunday,Winter,28.1,21.6,24.85,6.5,0.3,1,Light,12.6,25.335714285714285,25.368750000000002,25.299999999999997,23.85,25.33709677419355,-0.48709677419354946,Warm,True,76.2,False
2021-01-25,Chennai,2021,1,1,25,Monday,Winter,28.0,21.9,24.95,6.100000000000001,0.8,1,Light,12.8,25.27142857142857,25.351999999999997,24.85,25.4,25.33709677419355,-0.3870967741935516,Warm,False,77.0,False
2021-01-26,Chennai,2021,1,1,26,Tuesday,Winter,27.9,20.1,24.0,7.799999999999997,0.0,0,No Rain,13.4,25.092857142857138,25.299999999999997,24.95,25.25,25.33709677419355,-1.3370967741935509,Warm,False,77.0,False
2021-01-27,Chennai,2021,1,1,27,Wednesday,Winter,27.5,21.1,24.3,6.399999999999999,0.0,0,No Rain,12.2,24.964285714285715,25.262962962962963,24.0,25.2,25.33709677419355,-1.0370967741935502,Warm,False,77.0,False
2021-01-28,Chennai,2021,1,1,28,Thursday,Winter,28.1,22.5,25.3,5.600000000000001,0.8,1,Light,18.4,24.914285714285715,25.264285714285712,24.3,25.65,25.33709677419355,-0.037096774193550175,Warm,False,77.8,False
2021-01-29,Chennai,2021,1,1,29,Friday,Winter,28.5,24.0,26.25,4.5,0.7,1,Light,17.9,24.992857142857144,25.298275862068966,25.3,25.7,25.33709677419355,0.9129032258064491,Warm,False,78.5,False
2021-01-30,Chennai,2021,1,1,30,Saturday,Winter,28.4,23.6,26.0,4.799999999999997,0.0,0,No Rain,15.3,25.092857142857145,25.321666666666665,26.25,25.299999999999997,25.33709677419355,0.6629032258064491,Warm,True,78.5,False
2021-01-31,Chennai,2021,1,1,31,Sunday,Winter,28.5,23.1,25.8,5.399999999999999,0.0,0,No Rain,16.1,25.228571428571428,25.330000000000002,26.0,24.85,25.33709677419355,0.4629032258064498,Warm,True,78.5,False
2021-02-01,Chennai,2021,1,2,1,Monday,Winter,28.5,23.3,25.9,5.199999999999999,0.0,0,No Rain,20.2,25.36428571428571,25.37,25.8,24.95,24.942857142857143,0.9571428571428555,Warm,False,78.5,False
2021-02-02,Chennai,2021,1,2,2,Tuesday,Winter,28.2,22.2,25.2,6.0,0.5,1,Light,19.5,25.535714285714285,25.366666666666667,25.9,24.0,24.942857142857143,0.25714285714285623,Warm,False,79.0,False
2021-02-03,Chennai,2021,1,2,3,Wednesday,Winter,27.9,22.9,25.4,5.0,0.0,0,No Rain,18.6,25.692857142857143,25.375,25.2,24.3,24.942857142857143,0.4571428571428555,Warm,False,79.0,False
