City,Datetime,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition,Description
Chennai,2026-06-25 12:00:00,34.42,37.96,46,1004,6.57,Clouds,overcast clouds
Chennai,2026-06-25 15:00:00,32.29,36.84,57,1006,5.47,Clouds,overcast clouds
Chennai,2026-06-25 18:00:00,30.14,35.63,71,1006,6.81,Clouds,overcast clouds
Chennai,2026-06-25 21:00:00,29.5,33.23,67,1005,6.0,Rain,light rain
Chennai,2026-06-26 00:00:00,29.34,33.69,71,1006,4.55,Rain,light rain
Chennai,2026-06-26 03:00:00,32.22,34.29,48,1008,5.15,Rain,light rain
Chennai,2026-06-26 06:00:00,34.27,37.03,44,1007,2.06,Clouds,overcast clouds
Chennai,2026-06-26 09:00:00,34.5,37.8,45,1004,4.63,Clouds,overcast clouds
Chennai,2026-06-26 12:00:00,31.06,36.02,64,1004,6.53,Clouds,broken clouds
Chennai,2026-06-26 15:00:00,30.11,34.58,67,1006,6.59,Clouds,overcast clouds
Chennai,2026-06-26 18:00:00,29.71,35.04,73,1006,7.44,Clouds,overcast clouds
Chennai,2026-06-26 21:00:00,29.65,34.65,72,1005,5.42,Clouds,overcast clouds
Chennai,2026-06-27 00:00:00,30.0,34.56,68,1006,3.8,Rain,light rain
Chennai,2026-06-27 03:00:00,32.65,35.87,51,1007,4.36,Rain,light rain
Chennai,2026-06-27 06:00:00,34.99,38.47,44,1006,1.67,Rain,light rain
Chennai,2026-06-27 09:00:00,32.1,37.31,60,1004,6.89,Clouds,overcast clouds
Chennai,2026-06-27 12:00:00,31.37,36.48,63,1004,6.48,Clouds,overcast clouds
Chennai,2026-06-27 15:00:00,30.4,35.51,68,1006,5.0,Clouds,overcast clouds
Chennai,2026-06-27 18:00:00,30.22,35.58,70,1006,7.14,Rain,light rain
Chennai,2026-06-27 21:00:00,30.07,34.03,65,1004,7.14,Clouds,overcast clouds
Chennai,2026-06-28 00:00:00,30.2,33.64,62,1005,3.96,Clouds,overcast clouds
Chennai,2026-06-28 03:00:00,32.0,35.11,53,1007,6.41,Clouds,overcast clouds
Chennai,2026-06-28 06:00:00,34.88,37.6,42,1006,4.65,Clouds,overcast clouds
Chennai,2026-06-28 09:00:00,34.61,39.04,48,1003,2.2,Clouds,overcast clouds
Chennai,2026-06-28 12:00:00,31.07,36.32,65,1003,6.24,Clouds,overcast clouds
Chennai,2026-06-28 15:00:00,30.79,36.2,67,1005,7.57,Clouds,overcast clouds
Chennai,2026-06-28 18:00:00,28.62,31.91,70,1006,5.29,Rain,light rain
Chennai,2026-06-28 21:00:00,28.77,32.41,71,1005,5.47,Rain,light rain
Chennai,2026-06-29 00:00:00,28.17,31.43,73,1005,3.93,Rain,light rain
Chennai,2026-06-29 03:00:00,30.08,33.83,64,1006,2.65,Clouds,overcast clouds
Chennai,2026-06-29 06:00:00,32.56,35.96,52,1006,1.42,Clouds,overcast clouds
Chennai,2026-06-29 09:00:00,32.72,36.88,54,1004,4.47,Clouds,overcast clouds
Chennai,2026-06-29 12:00:00,30.43,35.33,67,1004,5.18,Clouds,overcast clouds
Chennai,2026-06-29 15:00:00,29.84,35.37,73,1005,6.42,Clouds,overcast clouds
Chennai,2026-06-29 18:00:00,29.92,35.08,71,1006,3.65,Rain,light rain
Chennai,2026-06-29 21:00:00,29.65,32.74,63,1005,3.48,Rain,light rain
Chennai,2026-06-30 00:00:00,29.99,33.01,61,1005,4.92,Clouds,overcast clouds
Chennai,2026-06-30 03:00:00,31.01,33.46,54,1007,5.32,Clouds,overcast clouds
Chennai,2026-06-30 06:00:00,34.3,37.09,44,1006,4.69,Clouds,overcast clouds
Chennai,2026-06-30 09:00:00,32.03,36.26,57,1005,6.73,Rain,light rain
