City,Datetime,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition,Description
London,2026-06-25 12:00:00,27.33,28.34,58,1017,5.41,Clear,clear sky
London,2026-06-25 15:00:00,27.25,27.73,51,1016,5.41,Clear,clear sky
London,2026-06-25 18:00:00,24.28,24.23,56,1014,5.98,Clear,clear sky
London,2026-06-25 21:00:00,23.13,23.2,65,1014,4.42,Clear,clear sky
London,2026-06-26 00:00:00,23.32,23.64,74,1014,0.99,Rain,light rain
London,2026-06-26 03:00:00,22.33,22.86,86,1012,2.3,Rain,light rain
London,2026-06-26 06:00:00,23.22,23.58,76,1013,1.25,Clouds,broken clouds
London,2026-06-26 09:00:00,28.85,28.63,42,1013,3.0,Clouds,overcast clouds
London,2026-06-26 12:00:00,28.91,27.86,31,1014,4.49,Clouds,overcast clouds
London,2026-06-26 15:00:00,29.81,28.33,26,1014,4.88,Clear,clear sky
London,2026-06-26 18:00:00,28.03,26.95,26,1014,5.62,Clear,clear sky
London,2026-06-26 21:00:00,25.31,25.25,52,1017,3.08,Clouds,few clouds
London,2026-06-27 00:00:00,23.23,23.1,57,1017,1.61,Clouds,few clouds
London,2026-06-27 03:00:00,21.69,21.74,70,1017,0.76,Rain,light rain
London,2026-06-27 06:00:00,22.59,22.73,70,1017,1.14,Rain,light rain
London,2026-06-27 09:00:00,28.41,28.36,44,1017,2.92,Clear,clear sky
London,2026-06-27 12:00:00,32.22,31.19,31,1016,3.4,Clouds,scattered clouds
London,2026-06-27 15:00:00,33.45,32.13,27,1015,3.83,Clouds,overcast clouds
London,2026-06-27 18:00:00,31.42,30.28,31,1015,3.77,Clouds,broken clouds
London,2026-06-27 21:00:00,27.12,27.17,44,1016,1.73,Clouds,scattered clouds
London,2026-06-28 00:00:00,24.21,24.2,58,1015,2.15,Clouds,few clouds
London,2026-06-28 03:00:00,21.36,21.61,79,1016,1.21,Rain,light rain
London,2026-06-28 06:00:00,20.36,20.57,81,1016,2.68,Rain,light rain
London,2026-06-28 09:00:00,22.43,22.43,65,1017,2.42,Rain,light rain
London,2026-06-28 12:00:00,26.61,26.61,47,1017,1.52,Rain,light rain
London,2026-06-28 15:00:00,25.8,25.77,51,1017,3.83,Rain,light rain
London,2026-06-28 18:00:00,24.98,24.84,50,1018,5.26,Clouds,overcast clouds
London,2026-06-28 21:00:00,20.49,20.27,64,1021,4.03,Clouds,broken clouds
London,2026-06-29 00:00:00,18.3,17.88,65,1023,3.58,Clouds,broken clouds
London,2026-06-29 03:00:00,15.52,14.93,69,1024,2.64,Clear,clear sky
London,2026-06-29 06:00:00,16.38,15.88,69,1025,1.91,Clear,clear sky
London,2026-06-29 09:00:00,20.75,20.11,47,1026,2.36,Clouds,scattered clouds
London,2026-06-29 12:00:00,24.58,23.93,32,1026,2.75,Clouds,broken clouds
London,2026-06-29 15:00:00,25.9,25.25,27,1025,3.65,Clouds,broken clouds
London,2026-06-29 18:00:00,24.19,23.5,32,1025,3.21,Clouds,broken clouds
London,2026-06-29 21:00:00,19.45,18.94,57,1027,3.44,Clouds,overcast clouds
London,2026-06-30 00:00:00,18.25,17.51,53,1028,2.22,Clouds,overcast clouds
London,2026-06-30 03:00:00,16.38,15.67,61,1028,1.39,Clouds,broken clouds
London,2026-06-30 06:00:00,17.15,16.33,54,1029,3.11,Clouds,scattered clouds
London,2026-06-30 09:00:00,21.28,20.48,39,1029,3.82,Clear,clear sky
