City,Datetime,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition,Description
Mumbai,2026-06-25 12:00:00,28.98,33.06,72,1006,4.57,Rain,light rain
Mumbai,2026-06-25 15:00:00,28.95,33.18,73,1007,5.82,Rain,light rain
Mumbai,2026-06-25 18:00:00,28.97,33.82,76,1008,5.53,Rain,light rain
Mumbai,2026-06-25 21:00:00,28.17,32.04,77,1007,4.14,Rain,light rain
Mumbai,2026-06-26 00:00:00,27.7,31.23,79,1007,3.56,Rain,light rain
Mumbai,2026-06-26 03:00:00,28.23,31.87,75,1009,3.25,Rain,light rain
Mumbai,2026-06-26 06:00:00,28.97,33.42,74,1009,3.73,Clouds,broken clouds
Mumbai,2026-06-26 09:00:00,29.19,33.75,73,1007,4.67,Rain,light rain
Mumbai,2026-06-26 12:00:00,29.34,34.11,73,1007,5.17,Rain,light rain
Mumbai,2026-06-26 15:00:00,29.11,34.18,76,1008,5.08,Rain,light rain
Mumbai,2026-06-26 18:00:00,29.01,33.92,76,1008,4.51,Rain,light rain
Mumbai,2026-06-26 21:00:00,28.18,32.39,79,1007,3.9,Rain,light rain
Mumbai,2026-06-27 00:00:00,28.09,32.33,80,1008,3.81,Rain,light rain
Mumbai,2026-06-27 03:00:00,27.98,32.05,80,1009,3.49,Rain,light rain
Mumbai,2026-06-27 06:00:00,28.57,33.01,77,1009,3.52,Rain,light rain
Mumbai,2026-06-27 09:00:00,29.21,34.22,75,1007,4.67,Rain,light rain
Mumbai,2026-06-27 12:00:00,29.61,34.78,73,1006,4.54,Rain,light rain
Mumbai,2026-06-27 15:00:00,29.09,34.13,76,1007,4.71,Rain,light rain
Mumbai,2026-06-27 18:00:00,28.7,33.53,78,1007,4.32,Rain,light rain
Mumbai,2026-06-27 21:00:00,28.04,32.36,81,1006,3.77,Rain,light rain
Mumbai,2026-06-28 00:00:00,27.93,32.08,81,1006,3.41,Rain,light rain
Mumbai,2026-06-28 03:00:00,28.22,32.66,80,1007,4.21,Rain,light rain
Mumbai,2026-06-28 06:00:00,28.69,33.5,78,1008,4.14,Rain,light rain
Mumbai,2026-06-28 09:00:00,29.28,34.4,75,1006,4.67,Rain,light rain
Mumbai,2026-06-28 12:00:00,29.25,34.54,76,1006,5.25,Rain,light rain
Mumbai,2026-06-28 15:00:00,28.84,33.89,78,1007,5.11,Rain,light rain
Mumbai,2026-06-28 18:00:00,28.45,33.25,80,1008,4.88,Rain,light rain
Mumbai,2026-06-28 21:00:00,28.17,32.53,80,1005,4.8,Rain,light rain
Mumbai,2026-06-29 00:00:00,27.81,31.92,82,1006,4.3,Rain,light rain
Mumbai,2026-06-29 03:00:00,27.96,32.15,81,1007,4.21,Rain,light rain
Mumbai,2026-06-29 06:00:00,28.77,33.71,78,1007,5.02,Rain,light rain
Mumbai,2026-06-29 09:00:00,29.14,34.47,77,1006,5.93,Rain,light rain
Mumbai,2026-06-29 12:00:00,28.44,33.23,80,1006,5.47,Rain,moderate rain
Mumbai,2026-06-29 15:00:00,28.38,32.55,77,1007,4.66,Rain,moderate rain
Mumbai,2026-06-29 18:00:00,28.88,33.21,74,1007,5.74,Rain,light rain
Mumbai,2026-06-29 21:00:00,28.23,32.35,78,1006,4.89,Rain,light rain
Mumbai,2026-06-30 00:00:00,27.92,31.75,79,1006,4.79,Rain,moderate rain
Mumbai,2026-06-30 03:00:00,27.91,31.73,79,1008,5.92,Rain,moderate rain
Mumbai,2026-06-30 06:00:00,27.4,30.89,82,1008,5.31,Rain,light rain
Mumbai,2026-06-30 09:00:00,27.28,30.83,84,1007,5.48,Rain,moderate rain
