City,Datetime,Temperature (°C),Feels Like (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Condition,Description
New York,2026-06-25 12:00:00,17.74,17.42,71,1017,0.48,Clouds,few clouds
New York,2026-06-25 15:00:00,23.25,23.07,55,1018,3.33,Clouds,scattered clouds
New York,2026-06-25 18:00:00,28.5,28.28,42,1018,5.16,Clouds,scattered clouds
New York,2026-06-25 21:00:00,28.29,28.5,47,1017,7.42,Clouds,broken clouds
New York,2026-06-26 00:00:00,23.55,23.53,60,1016,7.19,Clouds,broken clouds
New York,2026-06-26 03:00:00,21.5,21.4,65,1018,4.12,Clouds,overcast clouds
New York,2026-06-26 06:00:00,20.22,20.13,70,1017,3.58,Clouds,broken clouds
New York,2026-06-26 09:00:00,19.95,19.96,75,1018,2.39,Clouds,overcast clouds
New York,2026-06-26 12:00:00,20.18,20.39,82,1018,4.48,Rain,light rain
New York,2026-06-26 15:00:00,23.34,23.77,78,1019,3.31,Rain,light rain
New York,2026-06-26 18:00:00,24.47,25.22,86,1019,4.39,Rain,light rain
New York,2026-06-26 21:00:00,24.19,24.94,87,1017,3.76,Rain,light rain
New York,2026-06-27 00:00:00,22.59,23.25,90,1018,2.93,Clouds,overcast clouds
New York,2026-06-27 03:00:00,20.96,21.51,92,1019,3.83,Rain,light rain
New York,2026-06-27 06:00:00,20.59,21.13,93,1018,2.26,Rain,light rain
New York,2026-06-27 09:00:00,20.03,20.57,95,1017,1.62,Rain,light rain
New York,2026-06-27 12:00:00,20.72,21.22,91,1017,2.52,Rain,light rain
New York,2026-06-27 15:00:00,20.71,21.19,90,1017,1.73,Rain,light rain
New York,2026-06-27 18:00:00,25.45,25.7,63,1016,2.64,Clouds,overcast clouds
New York,2026-06-27 21:00:00,23.72,23.98,70,1015,3.7,Clouds,overcast clouds
New York,2026-06-28 00:00:00,21.97,22.34,81,1015,3.2,Clouds,overcast clouds
New York,2026-06-28 03:00:00,21.95,22.39,84,1015,1.93,Clouds,overcast clouds
New York,2026-06-28 06:00:00,21.61,22.02,84,1015,1.37,Clouds,broken clouds
New York,2026-06-28 09:00:00,20.99,21.23,80,1015,1.99,Clouds,broken clouds
New York,2026-06-28 12:00:00,22.48,22.72,74,1016,2.67,Clouds,broken clouds
New York,2026-06-28 15:00:00,25.65,25.76,57,1016,2.6,Clouds,overcast clouds
New York,2026-06-28 18:00:00,27.73,28.07,49,1015,3.64,Clouds,overcast clouds
New York,2026-06-28 21:00:00,27.16,27.7,52,1015,3.06,Clouds,overcast clouds
New York,2026-06-29 00:00:00,24.11,24.35,68,1016,3.58,Clouds,overcast clouds
New York,2026-06-29 03:00:00,22.35,22.65,77,1017,2.68,Clouds,broken clouds
New York,2026-06-29 06:00:00,21.45,21.74,80,1018,1.63,Clouds,scattered clouds
New York,2026-06-29 09:00:00,20.92,21.23,83,1018,1.08,Clear,clear sky
New York,2026-06-29 12:00:00,23.09,23.33,72,1019,1.92,Clear,clear sky
New York,2026-06-29 15:00:00,27.81,28.0,47,1019,1.2,Clear,clear sky
New York,2026-06-29 18:00:00,29.04,28.93,43,1019,4.22,Clouds,scattered clouds
New York,2026-06-29 21:00:00,26.8,27.46,54,1018,5.92,Clouds,scattered clouds
New York,2026-06-30 00:00:00,24.5,24.65,63,1019,4.68,Clouds,broken clouds
New York,2026-06-30 03:00:00,24.51,24.64,62,1020,2.88,Clouds,broken clouds
New York,2026-06-30 06:00:00,23.04,23.12,66,1020,2.51,Clouds,broken clouds
New York,2026-06-30 09:00:00,21.76,21.82,70,1020,2.93,Clouds,scattered clouds
