Date,Max Temp (°C),Min Temp (°C),Rainfall (mm),Max Wind (km/h),City
2021-01-01,27.0,24.1,0.1,22.0,Chennai
2021-01-02,25.5,23.9,15.7,21.1,Chennai
2021-01-03,27.0,23.6,3.5,19.5,Chennai
2021-01-04,26.7,23.6,4.5,19.5,Chennai
2021-01-05,26.0,23.8,17.6,16.6,Chennai
2021-01-06,26.9,23.4,16.1,15.5,Chennai
2021-01-07,27.2,23.5,3.4,17.2,Chennai
2021-01-08,27.9,23.8,4.2,13.5,Chennai
2021-01-09,28.0,23.6,2.0,18.2,Chennai
2021-01-10,28.0,24.0,0.9,19.1,Chennai
2021-01-11,28.0,24.0,3.0,22.1,Chennai
2021-01-12,28.1,24.4,0.9,22.7,Chennai
2021-01-13,27.9,23.9,0.7,21.7,Chennai
2021-01-14,27.2,23.8,1.6,21.9,Chennai
2021-01-15,28.1,23.0,0.0,14.3,Chennai
2021-01-16,27.6,21.8,0.0,12.7,Chennai
2021-01-17,27.2,20.5,0.0,14.0,Chennai
2021-01-18,27.8,23.0,0.0,18.9,Chennai
2021-01-19,28.0,22.5,0.0,17.6,Chennai
2021-01-20,27.9,22.5,0.0,14.6,Chennai
2021-01-21,28.2,23.1,0.2,9.7,Chennai
2021-01-22,28.5,22.9,1.1,11.6,Chennai
2021-01-23,28.2,22.4,0.4,10.8,Chennai
2021-01-24,28.1,21.6,0.3,12.6,Chennai
2021-01-25,28.0,21.9,0.8,12.8,Chennai
2021-01-26,27.9,20.1,0.0,13.4,Chennai
2021-01-27,27.5,21.1,0.0,12.2,Chennai
2021-01-28,28.1,22.5,0.8,18.4,Chennai
2021-01-29,28.5,24.0,0.7,17.9,Chennai
2021-01-30,28.4,23.6,0.0,15.3,Chennai
2021-01-31,28.5,23.1,0.0,16.1,Chennai
2021-02-01,28.5,23.3,0.0,20.2,Chennai
2021-02-02,28.2,22.2,0.5,19.5,Chennai
2021-02-03,27.9,22.9,0.0,18.6,Chennai
2021-02-04,28.2,21.2,0.0,18.5,Chennai
2021-02-05,27.9,21.0,0.0,16.1,Chennai
2021-02-06,28.0,20.5,0.0,18.4,Chennai
2021-02-07,28.7,19.5,0.0,19.1,Chennai
2021-02-08,28.2,20.4,0.0,20.4,Chennai
2021-02-09,28.4,23.7,0.0,17.9,Chennai
2021-02-10,28.0,19.5,0.0,13.1,Chennai
2021-02-11,28.2,20.1,0.0,12.6,Chennai
2021-02-12,28.1,20.7,0.0,13.8,Chennai
2021-02-13,28.5,21.1,0.0,15.5,Chennai
2021-02-14,28.4,20.5,0.0,17.2,Chennai
2021-02-15,28.6,19.9,0.0,15.6,Chennai
2021-02-16,28.9,20.5,0.0,14.1,Chennai
2021-02-17,28.4,21.3,0.0,14.4,Chennai
2021-02-18,28.7,24.0,0.0,16.9,Chennai
2021-02-19,28.0,23.0,4.8,20.2,Chennai
2021-02-20,27.1,22.4,4.6,18.3,Chennai
2021-02-21,26.5,22.0,11.3,17.4,Chennai
2021-02-22,28.5,23.4,0.6,16.8,Chennai
2021-02-23,28.9,22.0,0.0,15.6,Chennai
2021-02-24,29.0,20.8,0.0,11.6,Chennai
2021-02-25,28.9,20.6,0.0,13.4,Chennai
2021-02-26,30.3,21.0,0.0,12.5,Chennai
2021-02-27,30.5,21.6,0.0,16.7,Chennai
2021-02-28,29.5,20.7,0.0,15.2,Chennai
2021-03-01,30.4,21.2,0.0,17.6,Chennai
2021-03-02,30.5,22.1,0.0,14.8,Chennai
2021-03-03,29.4,21.4,0.0,12.7,Chennai
2021-03-04,28.7,20.6,0.0,12.7,Chennai
2021-03-05,29.8,20.6,0.0,12.7,Chennai
2021-03-06,29.6,21.9,0.0,15.1,Chennai
2021-03-07,30.4,22.8,0.0,13.0,Chennai
2021-03-08,29.7,23.1,0.0,14.1,Chennai
2021-03-09,30.4,23.2,0.1,15.3,Chennai
2021-03-10,30.4,24.5,0.5,14.8,Chennai
2021-03-11,30.4,24.4,0.0,15.1,Chennai
2021-03-12,29.5,21.6,0.0,13.2,Chennai
2021-03-13,30.1,21.5,0.0,14.0,Chennai
2021-03-14,31.4,22.0,0.0,13.2,Chennai
2021-03-15,31.6,22.5,0.0,16.4,Chennai
2021-03-16,30.9,23.0,0.0,15.7,Chennai
2021-03-17,30.5,22.4,0.0,14.8,Chennai
2021-03-18,30.6,23.2,0.0,13.7,Chennai
2021-03-19,30.4,23.0,0.0,16.6,Chennai
2021-03-20,30.6,22.0,0.0,16.6,Chennai
2021-03-21,31.2,22.6,0.0,13.1,Chennai
2021-03-22,30.8,22.6,0.0,13.6,Chennai
2021-03-23,30.6,22.5,0.0,14.3,Chennai
2021-03-24,31.2,23.5,0.0,14.8,Chennai
2021-03-25,31.6,23.5,0.0,13.9,Chennai
2021-03-26,32.0,23.8,0.0,14.5,Chennai
2021-03-27,32.4,24.0,0.0,16.5,Chennai
2021-03-28,32.0,23.8,0.0,19.7,Chennai
2021-03-29,32.8,25.5,0.0,22.3,Chennai
2021-03-30,35.5,25.2,0.0,21.0,Chennai
2021-03-31,35.5,24.8,0.0,25.0,Chennai
2021-04-01,36.0,26.5,0.0,24.8,Chennai
2021-04-02,37.7,27.6,0.0,19.3,Chennai
2021-04-03,36.0,26.8,0.0,25.0,Chennai
2021-04-04,33.2,26.7,0.0,15.6,Chennai
2021-04-05,32.7,27.0,0.0,15.8,Chennai
2021-04-06,32.4,25.8,0.1,18.9,Chennai
2021-04-07,32.0,24.8,0.0,20.6,Chennai
2021-04-08,32.2,24.9,0.0,22.7,Chennai
2021-04-09,32.2,24.2,0.0,20.2,Chennai
2021-04-10,31.7,25.2,0.8,19.1,Chennai
2021-04-11,31.5,25.4,0.6,16.6,Chennai
2021-04-12,32.0,26.4,0.2,18.6,Chennai
2021-04-13,31.9,25.9,0.0,19.1,Chennai
2021-04-14,31.6,26.6,2.1,19.1,Chennai
2021-04-15,30.5,25.5,3.7,12.6,Chennai
2021-04-16,32.3,25.0,0.6,18.1,Chennai
2021-04-17,32.5,26.3,0.0,18.9,Chennai
2021-04-18,33.2,26.7,0.0,22.5,Chennai
2021-04-19,33.8,26.8,0.0,21.3,Chennai
2021-04-20,33.5,27.2,0.0,24.8,Chennai
2021-04-21,33.5,27.0,0.0,26.1,Chennai
2021-04-22,32.8,26.9,0.2,23.0,Chennai
2021-04-23,33.3,27.0,0.6,22.3,Chennai
2021-04-24,33.0,27.2,0.1,20.0,Chennai
2021-04-25,33.0,27.1,0.2,21.7,Chennai
2021-04-26,32.6,26.5,0.4,24.6,Chennai
2021-04-27,32.5,26.9,0.2,21.3,Chennai
2021-04-28,33.7,26.8,0.0,21.3,Chennai
2021-04-29,33.7,27.5,0.0,20.9,Chennai
2021-04-30,32.5,27.2,0.3,18.6,Chennai
2021-05-01,32.5,27.0,0.2,17.8,Chennai
2021-05-02,32.5,26.6,0.2,18.0,Chennai
2021-05-03,32.3,26.9,0.5,16.8,Chennai
2021-05-04,32.6,26.6,0.9,19.1,Chennai
2021-05-05,32.8,26.6,0.7,19.9,Chennai
2021-05-06,33.2,27.5,0.1,20.2,Chennai
2021-05-07,32.1,27.9,1.3,19.3,Chennai
2021-05-08,31.9,27.0,0.4,17.6,Chennai
2021-05-09,32.5,27.2,0.7,17.7,Chennai
2021-05-10,33.3,27.6,0.0,20.5,Chennai
2021-05-11,34.8,27.7,0.0,25.5,Chennai
2021-05-12,33.5,28.0,1.2,25.0,Chennai
2021-05-13,33.8,28.4,0.1,25.1,Chennai
2021-05-14,33.2,27.8,0.5,25.0,Chennai
2021-05-15,34.1,29.2,0.0,29.7,Chennai
2021-05-16,34.3,28.6,0.3,29.0,Chennai
2021-05-17,34.0,28.5,0.1,23.4,Chennai
2021-05-18,33.1,28.8,0.0,24.5,Chennai
2021-05-19,34.2,27.4,0.8,26.6,Chennai
2021-05-20,34.2,26.3,30.0,20.1,Chennai
2021-05-21,36.0,26.7,7.7,18.7,Chennai
2021-05-22,33.3,26.2,2.6,20.4,Chennai
2021-05-23,35.7,27.1,0.0,20.3,Chennai
2021-05-24,37.7,28.5,0.0,19.5,Chennai
2021-05-25,38.4,29.2,0.7,19.6,Chennai
2021-05-26,39.7,28.4,0.0,22.7,Chennai
2021-05-27,38.5,29.0,0.0,23.0,Chennai
2021-05-28,36.8,28.0,0.0,20.9,Chennai
2021-05-29,36.3,27.8,0.0,18.5,Chennai
2021-05-30,37.6,28.3,0.1,18.9,Chennai
2021-05-31,37.5,27.0,0.1,17.1,Chennai
2021-06-01,36.0,28.4,0.0,16.1,Chennai
2021-06-02,34.3,28.0,0.1,15.5,Chennai
2021-06-03,33.9,27.6,0.1,20.4,Chennai
2021-06-04,31.8,27.5,1.6,18.6,Chennai
2021-06-05,32.0,26.1,3.9,19.4,Chennai
2021-06-06,32.8,25.9,0.4,16.5,Chennai
2021-06-07,35.8,28.0,4.7,17.4,Chennai
2021-06-08,34.3,28.0,1.0,20.9,Chennai
2021-06-09,37.6,27.8,0.2,20.3,Chennai
2021-06-10,37.0,28.7,0.9,22.7,Chennai
2021-06-11,37.2,28.7,0.0,23.0,Chennai
2021-06-12,38.3,29.1,0.9,20.5,Chennai
2021-06-13,37.1,28.5,0.1,30.5,Chennai
2021-06-14,35.8,29.6,0.0,29.7,Chennai
2021-06-15,36.5,27.8,0.1,22.9,Chennai
2021-06-16,38.6,28.6,0.1,27.1,Chennai
2021-06-17,37.5,29.1,0.6,24.8,Chennai
2021-06-18,37.0,28.9,0.0,21.8,Chennai
2021-06-19,37.5,29.0,0.0,24.3,Chennai
2021-06-20,37.5,28.2,0.6,21.9,Chennai
2021-06-21,36.6,28.0,0.3,21.3,Chennai
2021-06-22,35.0,26.6,2.8,20.2,Chennai
2021-06-23,35.7,27.2,4.0,23.9,Chennai
2021-06-24,31.6,26.5,1.1,16.3,Chennai
2021-06-25,33.6,27.4,0.0,16.9,Chennai
2021-06-26,33.9,27.0,0.8,17.4,Chennai
2021-06-27,31.6,26.9,2.6,15.0,Chennai
2021-06-28,32.5,25.7,5.4,17.8,Chennai
2021-06-29,32.0,27.8,0.8,23.2,Chennai
