Date,Max Temp (°C),Min Temp (°C),Rainfall (mm),Max Wind (km/h),City
2021-01-01,18.0,3.5,0.0,9.1,Delhi
2021-01-02,18.5,9.7,4.5,12.9,Delhi
2021-01-03,21.0,12.3,8.1,23.4,Delhi
2021-01-04,22.3,12.9,5.6,14.2,Delhi
2021-01-05,21.8,13.9,2.8,14.2,Delhi
2021-01-06,21.8,14.8,2.7,13.3,Delhi
2021-01-07,19.5,11.1,0.0,12.6,Delhi
2021-01-08,19.0,9.0,0.0,9.8,Delhi
2021-01-09,20.0,11.1,0.0,16.8,Delhi
2021-01-10,17.7,8.7,0.0,15.6,Delhi
2021-01-11,17.9,7.3,0.0,19.9,Delhi
2021-01-12,18.2,6.8,0.0,17.6,Delhi
2021-01-13,18.5,5.9,0.0,15.9,Delhi
2021-01-14,18.8,4.8,0.0,10.3,Delhi
2021-01-15,19.5,8.0,0.0,10.9,Delhi
2021-01-16,17.1,5.3,0.0,11.2,Delhi
2021-01-17,19.0,6.7,0.0,16.2,Delhi
2021-01-18,18.1,10.4,3.0,13.6,Delhi
2021-01-19,21.0,10.1,0.0,13.3,Delhi
2021-01-20,20.0,10.1,0.0,17.9,Delhi
2021-01-21,20.5,9.3,0.0,18.9,Delhi
2021-01-22,21.2,7.4,0.0,13.5,Delhi
2021-01-23,21.0,8.9,0.0,16.5,Delhi
2021-01-24,19.1,9.0,0.0,14.5,Delhi
2021-01-25,18.2,6.5,0.0,10.1,Delhi
2021-01-26,18.3,7.2,0.0,13.8,Delhi
2021-01-27,18.8,6.6,0.0,15.6,Delhi
2021-01-28,18.1,5.6,0.0,11.9,Delhi
2021-01-29,18.6,5.9,0.0,16.9,Delhi
2021-01-30,19.0,6.5,0.0,15.9,Delhi
2021-01-31,20.5,5.3,0.0,10.6,Delhi
2021-02-01,22.5,7.1,0.0,11.6,Delhi
2021-02-02,23.5,7.6,0.0,9.1,Delhi
2021-02-03,23.9,11.9,0.1,14.8,Delhi
2021-02-04,21.5,10.6,11.0,18.4,Delhi
2021-02-05,19.7,8.4,0.0,12.6,Delhi
2021-02-06,20.0,8.8,0.0,16.8,Delhi
2021-02-07,21.2,9.6,0.0,19.4,Delhi
2021-02-08,22.4,8.6,0.0,13.1,Delhi
2021-02-09,24.0,10.1,0.0,12.2,Delhi
2021-02-10,25.3,11.8,0.0,10.2,Delhi
2021-02-11,24.0,11.3,0.0,11.1,Delhi
2021-02-12,24.5,11.2,0.0,10.9,Delhi
2021-02-13,24.1,11.6,0.0,11.0,Delhi
2021-02-14,25.6,12.2,0.0,10.9,Delhi
2021-02-15,27.0,12.1,0.0,10.7,Delhi
2021-02-16,26.9,12.2,0.0,11.5,Delhi
2021-02-17,25.6,11.6,0.0,9.2,Delhi
2021-02-18,25.5,11.5,0.0,10.8,Delhi
2021-02-19,25.5,11.1,0.0,13.3,Delhi
2021-02-20,25.9,11.8,0.0,13.0,Delhi
2021-02-21,25.9,11.7,0.0,15.5,Delhi
2021-02-22,27.4,12.7,0.0,17.3,Delhi
2021-02-23,29.5,13.1,0.0,10.5,Delhi
2021-02-24,30.1,13.6,0.0,12.1,Delhi
2021-02-25,30.2,13.6,0.0,15.0,Delhi
2021-02-26,30.9,15.5,0.0,17.9,Delhi
2021-02-27,30.4,19.0,0.0,15.5,Delhi
2021-02-28,29.9,16.9,0.0,15.7,Delhi
2021-03-01,27.5,14.3,0.0,21.4,Delhi
2021-03-02,27.5,14.7,0.0,25.7,Delhi
2021-03-03,29.4,15.1,0.0,18.8,Delhi
2021-03-04,31.4,15.1,0.0,10.6,Delhi
2021-03-05,30.1,15.9,0.0,24.1,Delhi
2021-03-06,30.6,15.3,0.0,17.8,Delhi
2021-03-07,33.2,15.4,0.0,18.0,Delhi
2021-03-08,31.1,19.1,0.0,23.4,Delhi
2021-03-09,32.2,18.5,0.2,11.6,Delhi
