Date,Max Temp (°C),Min Temp (°C),Rainfall (mm),Max Wind (km/h),City
2021-01-01,4.1,-2.4,0.4,10.0,London
2021-01-02,4.2,-1.0,0.0,13.2,London
2021-01-03,5.1,-2.0,0.6,19.7,London
2021-01-04,4.4,1.9,2.3,26.6,London
2021-01-05,3.8,0.9,1.9,24.3,London
2021-01-06,4.8,-0.5,3.4,18.5,London
2021-01-07,1.9,-2.3,0.0,11.2,London
2021-01-08,1.9,-2.3,0.0,8.4,London
2021-01-09,2.3,-3.3,0.0,9.7,London
2021-01-10,2.5,-1.2,0.0,10.8,London
2021-01-11,8.2,0.8,0.6,29.8,London
2021-01-12,8.9,-0.3,3.8,28.1,London
2021-01-13,8.9,-1.5,2.6,12.2,London
2021-01-14,8.9,2.0,27.6,22.0,London
2021-01-15,4.0,-0.3,0.0,13.5,London
2021-01-16,7.1,1.6,6.3,24.1,London
2021-01-17,7.2,2.1,0.0,18.2,London
2021-01-18,7.9,1.5,0.9,26.6,London
2021-01-19,10.9,8.4,2.4,34.9,London
2021-01-20,10.4,9.3,7.2,38.5,London
2021-01-21,8.9,3.7,2.3,41.4,London
2021-01-22,6.7,-0.3,0.7,13.1,London
2021-01-23,3.5,-2.7,0.0,18.9,London
2021-01-24,2.0,-3.9,4.5,17.1,London
2021-01-25,4.6,-2.5,0.7,17.5,London
2021-01-26,5.2,-2.0,4.1,20.4,London
2021-01-27,9.4,5.8,2.6,15.4,London
2021-01-28,12.6,7.6,14.6,28.9,London
2021-01-29,10.6,7.8,9.5,28.6,London
2021-01-30,7.2,2.8,15.4,30.8,London
2021-01-31,4.1,0.6,2.0,25.3,London
2021-02-01,4.7,2.3,0.0,14.1,London
2021-02-02,12.6,3.8,5.0,29.1,London
2021-02-03,9.3,4.8,2.5,25.5,London
2021-02-04,8.7,2.8,5.3,16.6,London
2021-02-05,9.9,5.1,0.9,15.9,London
2021-02-06,8.0,1.2,8.8,24.1,London
2021-02-07,3.8,-1.2,4.6,33.5,London
2021-02-08,-0.4,-2.0,0.5,28.3,London
2021-02-09,0.2,-3.2,1.0,20.2,London
2021-02-10,0.0,-9.8,0.0,19.5,London
2021-02-11,-0.6,-10.3,0.0,18.1,London
2021-02-12,0.3,-4.2,0.0,26.3,London
2021-02-13,0.2,-5.1,0.0,23.8,London
2021-02-14,5.0,-0.3,0.6,29.1,London
2021-02-15,12.6,4.9,1.8,23.4,London
2021-02-16,10.6,6.9,2.1,27.7,London
2021-02-17,10.6,6.7,3.0,31.6,London
2021-02-18,11.2,4.6,1.3,35.1,London
2021-02-19,10.6,4.3,1.0,33.3,London
2021-02-20,13.9,10.0,0.5,27.8,London
2021-02-21,14.2,6.7,0.4,21.2,London
2021-02-22,12.1,7.1,1.0,18.8,London
2021-02-23,12.6,5.9,0.0,31.5,London
2021-02-24,14.1,10.9,0.0,29.3,London
2021-02-25,12.0,5.2,0.3,22.9,London
2021-02-26,10.8,-0.6,0.0,11.2,London
2021-02-27,11.6,1.2,0.0,11.3,London
2021-02-28,9.4,1.2,0.0,16.8,London
2021-03-01,9.6,3.3,0.0,18.3,London
2021-03-02,9.8,1.8,0.0,11.6,London
2021-03-03,13.1,1.6,6.7,8.8,London
2021-03-04,5.8,4.2,1.7,17.8,London
2021-03-05,5.8,0.9,0.0,23.4,London
2021-03-06,6.3,0.2,0.0,12.4,London
2021-03-07,5.7,-1.0,0.0,8.9,London
2021-03-08,9.0,-2.5,0.1,9.8,London
2021-03-09,11.8,0.0,0.0,16.4,London
2021-03-10,10.7,4.9,6.0,37.2,London
2021-03-11,11.0,5.2,1.4,46.7,London
2021-03-12,9.9,4.3,1.0,38.1,London
2021-03-13,9.1,3.3,5.6,41.4,London
2021-03-14,10.1,3.5,1.8,29.0,London
2021-03-15,11.0,5.8,0.4,27.0,London
2021-03-16,13.4,4.5,0.5,26.7,London
2021-03-17,9.6,3.0,0.9,22.3,London
2021-03-18,9.4,3.1,1.0,22.7,London
2021-03-19,10.2,3.4,0.3,20.9,London
2021-03-20,10.1,0.2,0.0,11.2,London
2021-03-21,10.8,6.1,0.1,17.7,London
2021-03-22,11.9,2.8,0.0,12.4,London
2021-03-23,11.2,3.8,0.0,19.9,London
2021-03-24,12.6,2.8,0.1,21.2,London
2021-03-25,11.9,1.2,0.9,27.2,London
2021-03-26,11.0,4.5,4.3,37.4,London
2021-03-27,10.3,2.8,0.0,29.6,London
2021-03-28,13.1,7.9,0.0,39.4,London
2021-03-29,17.5,5.1,0.0,25.5,London
2021-03-30,21.4,3.0,0.0,13.0,London
2021-03-31,20.8,9.4,0.0,17.3,London
2021-04-01,14.8,5.4,0.0,23.2,London
2021-04-02,9.6,4.0,0.0,24.0,London
2021-04-03,8.8,5.3,0.0,22.9,London
2021-04-04,13.6,0.4,0.0,16.3,London
2021-04-05,7.4,1.7,0.1,30.2,London
2021-04-06,6.9,-0.7,0.2,24.0,London
2021-04-07,6.2,-1.9,0.0,21.0,London
