Date,Max Temp (°C),Min Temp (°C),Rainfall (mm),Max Wind (km/h),City
2021-01-01,31.6,20.8,0.0,17.3,Mumbai
2021-01-02,28.9,22.6,0.0,16.2,Mumbai
2021-01-03,28.3,21.5,0.0,18.0,Mumbai
2021-01-04,28.0,21.2,0.0,16.6,Mumbai
2021-01-05,28.4,21.1,0.4,20.9,Mumbai
2021-01-06,29.1,21.6,0.0,21.8,Mumbai
2021-01-07,29.4,21.6,0.2,17.6,Mumbai
2021-01-08,28.9,22.9,2.8,11.5,Mumbai
2021-01-09,30.2,22.9,0.2,16.1,Mumbai
2021-01-10,31.0,23.9,0.0,14.3,Mumbai
2021-01-11,31.3,23.8,0.0,16.1,Mumbai
2021-01-12,32.7,24.0,0.0,20.7,Mumbai
2021-01-13,32.2,22.5,0.0,18.9,Mumbai
2021-01-14,30.5,21.5,0.0,20.1,Mumbai
2021-01-15,28.3,20.3,0.0,19.1,Mumbai
2021-01-16,28.4,18.1,0.0,18.6,Mumbai
2021-01-17,28.1,19.0,0.0,14.7,Mumbai
2021-01-18,28.8,20.4,0.0,18.1,Mumbai
2021-01-19,29.9,21.0,0.0,17.2,Mumbai
2021-01-20,30.4,20.1,0.0,18.1,Mumbai
2021-01-21,28.8,19.5,0.0,17.6,Mumbai
2021-01-22,29.6,18.3,0.0,18.6,Mumbai
2021-01-23,30.6,20.0,0.0,20.1,Mumbai
2021-01-24,29.4,19.1,0.0,19.6,Mumbai
2021-01-25,29.0,16.6,0.0,19.1,Mumbai
2021-01-26,28.0,17.6,0.0,20.4,Mumbai
2021-01-27,27.1,16.9,0.0,18.4,Mumbai
2021-01-28,27.5,17.0,0.0,20.0,Mumbai
2021-01-29,28.2,16.6,0.0,17.9,Mumbai
2021-01-30,30.0,17.3,0.0,19.9,Mumbai
2021-01-31,30.9,17.9,0.0,19.2,Mumbai
2021-02-01,32.6,20.5,0.0,19.7,Mumbai
2021-02-02,32.9,21.5,0.0,17.9,Mumbai
2021-02-03,31.2,19.0,0.0,16.6,Mumbai
2021-02-04,30.2,20.0,0.0,21.1,Mumbai
2021-02-05,29.9,20.1,0.0,22.7,Mumbai
2021-02-06,31.4,19.3,0.0,21.3,Mumbai
2021-02-07,32.8,20.9,0.0,19.6,Mumbai
2021-02-08,32.7,18.6,0.0,22.0,Mumbai
2021-02-09,32.7,17.2,0.0,17.1,Mumbai
2021-02-10,30.9,17.5,0.0,18.4,Mumbai
2021-02-11,32.2,18.0,0.0,16.5,Mumbai
2021-02-12,30.3,19.2,0.0,19.5,Mumbai
2021-02-13,30.3,18.9,0.0,22.0,Mumbai
2021-02-14,30.1,20.0,0.0,21.8,Mumbai
2021-02-15,28.6,20.6,0.0,23.4,Mumbai
2021-02-16,27.8,20.4,0.0,24.2,Mumbai
2021-02-17,28.8,20.1,0.0,24.7,Mumbai
2021-02-18,31.4,20.5,1.0,15.6,Mumbai
2021-02-19,32.0,21.5,0.1,19.0,Mumbai
2021-02-20,32.3,20.2,0.0,25.3,Mumbai
2021-02-21,34.0,22.0,0.0,21.3,Mumbai
2021-02-22,33.1,22.3,0.0,20.5,Mumbai
2021-02-23,31.7,21.8,0.0,18.7,Mumbai
2021-02-24,33.0,21.8,0.0,19.4,Mumbai
2021-02-25,33.0,23.0,0.0,24.0,Mumbai
2021-02-26,30.3,21.8,0.0,20.7,Mumbai
2021-02-27,31.2,20.8,0.0,24.2,Mumbai
2021-02-28,34.3,21.7,0.0,21.8,Mumbai
2021-03-01,35.1,24.0,0.0,23.2,Mumbai
2021-03-02,34.4,22.0,0.0,25.0,Mumbai
2021-03-03,36.2,22.3,0.0,21.9,Mumbai
2021-03-04,36.3,21.8,0.0,23.3,Mumbai
2021-03-05,36.6,21.8,0.0,19.2,Mumbai
2021-03-06,31.4,22.4,0.0,18.2,Mumbai
2021-03-07,32.8,21.0,0.0,19.9,Mumbai
2021-03-08,32.3,21.4,0.0,21.1,Mumbai
2021-03-09,34.8,22.7,0.0,24.2,Mumbai
2021-03-10,32.7,23.8,0.0,21.0,Mumbai
2021-03-11,31.0,22.6,0.0,23.2,Mumbai
2021-03-12,32.7,21.9,0.0,24.2,Mumbai
2021-03-13,35.7,24.4,0.0,21.3,Mumbai
2021-03-14,34.6,23.5,0.0,20.2,Mumbai
2021-03-15,34.6,24.0,0.0,23.7,Mumbai
2021-03-16,33.8,23.3,0.0,23.5,Mumbai
2021-03-17,34.7,23.0,0.0,23.2,Mumbai
2021-03-18,32.5,23.6,0.0,19.5,Mumbai
2021-03-19,32.2,23.4,0.0,24.2,Mumbai
2021-03-20,31.1,22.1,0.0,18.0,Mumbai
2021-03-21,32.0,22.1,0.0,15.6,Mumbai
